,geneSymbol,pax6_baseMean,pax6_log2FoldChange,pax6_pvalue,pax6_padj,pax6_threshold,tbr2_baseMean,tbr2_log2FoldChange,tbr2_pvalue,tbr2_padj,tbr2_threshold,neg_baseMean,neg_log2FoldChange,neg_pvalue,neg_padj,neg_threshold
ENSMUSG00000052595,A1cf,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052605,Isoc2b,2.211847186,0.014796572,0.911168637,NA,NA,5.383124612,0.030213881,0.86734507,NA,NA,5.660494271,-0.103297249,0.325871663,NA,NA
ENSMUSG00000052609,Plekhg3,27.98828393,-0.365637589,0.07802294,0.509218629,FALSE,1.320580602,0.040901245,0.679852292,NA,NA,2.621683426,-0.098977901,0.212568361,NA,NA
ENSMUSG00000052613,Pcdh15,222.0280618,0.09375628,0.501767309,0.921181342,FALSE,166.4934504,0.740493151,3.91E-05,0.002907413,TRUE,58.14615689,0.244027636,0.093637267,0.873331516,FALSE
ENSMUSG00000052616,Ccdc79,8.198815227,-0.023174728,0.90030075,NA,NA,1.848528436,-0.019804207,0.877681605,NA,NA,2.314026416,-0.006717204,0.925811305,NA,NA
ENSMUSG00000052625,Olfr851,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052629,Gm9885,20.34783778,0.094792845,0.649370219,0.953044757,FALSE,19.12861858,-0.035027765,0.866687717,0.985845234,FALSE,26.30354618,-0.14664414,0.320026535,0.962365782,FALSE
ENSMUSG00000052631,Sh2d6,0.655930531,0.021488084,0.77638874,NA,NA,1.821549918,0.061528089,0.628486422,NA,NA,3.937938548,0.026039709,0.790303408,NA,NA
ENSMUSG00000052632,Asap2,1003.255843,0.004381551,0.966258506,0.99561496,FALSE,814.755926,-0.073095989,0.469416328,0.911644426,FALSE,1395.880658,0.036299762,0.71434055,0.994154453,FALSE
ENSMUSG00000052642,4930504O13Rik,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052656,Rnf103,403.0489671,0.029876258,0.816871101,0.978549452,FALSE,428.3405068,0.094581242,0.417857426,0.892816556,FALSE,502.6991868,0.24797976,0.008666856,0.435261407,FALSE
ENSMUSG00000052658,5830454E08Rik,12.6117293,0.072550857,0.718477857,0.961183056,FALSE,6.468566589,-0.314705646,0.097978297,0.603238118,FALSE,4.556131213,-0.074212891,0.420905325,NA,NA
ENSMUSG00000052673,Gm9887,0.130438149,-0.0263367,0.510581889,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052675,Zfp112,65.99542841,-0.029045372,0.869194652,0.986119724,FALSE,53.25739845,0.015733524,0.932666635,0.994054303,FALSE,71.48278836,0.01798213,0.900793172,0.998587315,FALSE
ENSMUSG00000052676,Zmat1,128.8846398,-0.046703086,0.758621189,0.968060553,FALSE,63.17782389,0.090786355,0.599263783,0.942987833,FALSE,91.46283711,0.253142842,0.085930072,0.873331516,FALSE
ENSMUSG00000052681,Rap1b,514.5211971,0.008065112,0.958190443,0.99561496,FALSE,237.6194321,-0.159208618,0.206177745,0.768573015,FALSE,221.4617949,-0.133871209,0.224530813,0.953550706,FALSE
ENSMUSG00000052684,Jun,3144.788229,-0.056915398,0.524185348,0.926260646,FALSE,429.8840751,0.373565219,0.000776785,0.032309411,TRUE,981.8925544,0.040150739,0.698484239,0.994028883,FALSE
ENSMUSG00000052688,5430435G22Rik,0.262737332,0.035135764,0.437428236,NA,NA,0.589382452,0.054448376,0.452878362,NA,NA,0.154639268,-0.013702629,0.509673647,NA,NA
ENSMUSG00000052698,Tln2,664.6465268,-0.197936026,0.06943264,0.480176675,FALSE,200.0199938,0.397647624,0.003155267,0.092939907,FALSE,364.5137339,0.027013613,0.801105431,0.996231565,FALSE
ENSMUSG00000052707,Tnrc6a,1736.184116,0.210175128,0.012100734,0.173132314,FALSE,1433.505922,0.138742795,0.091960398,0.590013386,FALSE,2424.978696,0.082494747,0.269984885,0.953550706,FALSE
ENSMUSG00000052712,BC004004,244.0316293,0.069407618,0.629183591,0.949120784,FALSE,229.0562554,-0.025011162,0.831165195,0.980475901,FALSE,311.9745602,-0.027820744,0.798771711,0.996231565,FALSE
ENSMUSG00000052713,Zfp608,1642.042679,0.284602184,0.005057046,0.090901869,FALSE,2734.414652,0.002866735,0.974733165,0.999257357,FALSE,2865.633571,0.073085122,0.606420096,0.987534112,FALSE
